0: 17,44,80,111,176,238,296,347,357,402,463,474,547,582,636,671,711,715,722,805,880,941,17,17,17,17,17,17,17,17,17,17
1: 106,208,258,353,363,502,571,576,600,637,762,810,882,975,1012,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
2: 22,175,313,361,487,492,501,537,592,617,625,706,721,730,827,849,876,895,972,996,22,22,22,22,22,22,22,22,22,22,22,22
3: 9,114,132,249,478,523,639,669,741,755,780,820,937,947,957,981,988,994,9,9,9,9,9,9,9,9,9,9,9,9,9,9
4: 19,53,67,118,196,229,265,328,458,466,510,515,530,620,640,811,893,956,977,1009,1016,19,19,19,19,19,19,19,19,19,19,19
5: 69,257,297,327,410,411,420,475,532,569,651,734,746,885,913,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
6: 117,119,401,518,839,906,943,949,983,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
7: 5,25,31,58,97,137,203,228,289,303,406,413,494,593,648,707,843,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8: 122,181,298,312,317,324,368,428,435,579,643,657,712,714,793,888,966,976,122,122,122,122,122,122,122,122,122,122,122,122,122,122
9: 2,40,92,177,199,218,241,306,318,433,462,624,701,723,748,763,792,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10: 102,154,274,280,283,372,448,460,495,545,574,682,774,859,867,990,1017,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
11: 10,65,130,184,260,268,337,430,481,545,553,659,683,737,747,782,807,837,841,857,877,928,950,979,10,10,10,10,10,10,10,10
12: 28,64,76,225,284,316,338,368,686,696,714,954,966,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
13: 36,51,78,146,233,271,305,360,484,501,537,617,689,690,706,750,833,849,868,883,895,969,1020,36,36,36,36,36,36,36,36,36
14: 24,51,81,99,163,198,236,276,409,434,440,468,534,586,661,689,750,868,883,963,969,24,24,24,24,24,24,24,24,24,24,24
15: 34,84,121,179,181,240,364,399,432,519,575,599,613,630,634,768,772,819,825,922,1006,34,34,34,34,34,34,34,34,34,34,34
16: 66,126,160,206,231,250,351,377,438,580,655,700,718,808,890,939,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
17: 62,125,140,194,270,315,327,411,475,591,651,709,869,884,885,968,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
18: 42,66,126,160,165,206,250,351,377,419,471,508,580,598,655,700,718,808,1015,42,42,42,42,42,42,42,42,42,42,42,42,42
19: 79,149,229,380,398,529,530,585,644,675,695,702,726,770,845,934,1009,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
20: 71,82,91,170,189,230,243,277,408,423,446,619,645,688,697,786,818,894,929,938,993,71,71,71,71,71,71,71,71,71,71,71
21: 38,56,149,232,237,279,336,344,414,416,489,535,565,585,644,770,934,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
22: 153,164,185,259,267,295,379,384,405,521,625,633,721,876,910,972,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
23: 4,73,128,169,186,245,348,383,393,668,677,704,815,824,847,933,991,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
24: 18,73,156,188,191,212,222,269,340,342,359,365,391,397,507,618,668,703,705,832,855,875,927,1007,18,18,18,18,18,18,18,18
25: 65,130,169,184,186,245,268,320,337,393,481,553,631,737,782,837,857,927,950,991,65,65,65,65,65,65,65,65,65,65,65,65
26: 19,53,67,196,302,325,346,381,447,458,465,500,510,594,620,640,823,826,865,893,903,916,1003,1016,19,19,19,19,19,19,19,19
27: 15,23,30,49,55,61,115,135,247,302,325,334,346,449,465,469,472,504,541,573,823,838,916,926,945,974,1004,1014,15,15,15,15
28: 117,158,209,252,264,431,470,518,561,719,725,736,839,898,912,919,949,1010,117,117,117,117,117,117,117,117,117,117,117,117,117,117
29: 9,20,27,124,223,335,371,478,602,639,649,663,669,676,781,854,959,971,981,9,9,9,9,9,9,9,9,9,9,9,9,9
30: 24,81,198,224,234,236,258,262,276,358,440,555,586,661,810,963,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
31: 34,84,121,179,181,286,299,317,364,399,554,575,599,613,630,768,772,819,986,34,34,34,34,34,34,34,34,34,34,34,34,34
32: 41,48,57,140,194,235,352,403,488,520,615,621,632,646,666,752,784,851,992,998,1001,41,41,41,41,41,41,41,41,41,41,41
33: 4,73,128,169,186,245,320,393,481,631,650,668,677,704,737,782,815,824,847,927,933,991,4,4,4,4,4,4,4,4,4,4
34: 6,177,199,218,241,288,375,498,524,548,738,743,794,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
35: 75,82,91,105,170,189,230,251,277,394,408,423,446,673,678,688,759,930,993,75,75,75,75,75,75,75,75,75,75,75,75,75
36: 42,66,126,160,165,206,250,351,377,419,471,508,580,598,655,700,718,808,1015,42,42,42,42,42,42,42,42,42,42,42,42,42
37: 62,94,125,132,270,315,442,475,478,651,709,789,820,869,884,885,964,994,62,62,62,62,62,62,62,62,62,62,62,62,62,62
38: 8,33,42,53,302,341,351,377,419,447,466,471,508,598,655,700,973,1015,8,8,8,8,8,8,8,8,8,8,8,8,8,8
39: 37,89,138,155,157,331,349,362,366,395,400,426,436,451,493,505,584,597,744,758,779,803,860,874,37,37,37,37,37,37,37,37
40: 4,128,147,151,154,169,186,242,245,348,383,393,549,668,704,737,815,847,887,902,933,982,1011,4,4,4,4,4,4,4,4,4
41: 8,15,23,30,55,61,115,135,247,302,325,346,443,449,465,469,472,504,541,573,594,605,823,826,838,916,945,974,1003,1004,8,8
42: 5,25,58,97,137,159,203,212,228,289,303,365,406,413,457,494,577,593,650,660,707,764,777,1019,5,5,5,5,5,5,5,5
43: 71,82,91,170,189,230,243,277,408,423,446,619,645,688,697,786,818,894,929,938,993,71,71,71,71,71,71,71,71,71,71,71
44: 73,169,188,191,212,222,269,342,359,391,507,618,631,668,703,705,815,832,927,950,991,1007,1019,73,73,73,73,73,73,73,73,73
45: 75,91,202,298,312,368,428,435,579,643,678,714,888,914,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
46: 34,84,121,179,181,240,364,399,432,519,575,599,613,630,634,768,772,819,825,922,1006,34,34,34,34,34,34,34,34,34,34,34
47: 41,48,57,140,194,235,352,403,488,520,615,621,632,646,666,752,784,851,992,998,1001,41,41,41,41,41,41,41,41,41,41,41
